model,num_tasks_seen,task,metric_type,accuracy
relu_0.2_ours_sgd,2,avg,Task-IL,70.8
relu_0.2_ours_sgd,3,0,Class-IL,0.0
relu_0.2_ours_sgd,3,0,Task-IL,68.60000000000001
relu_0.2_ours_sgd,3,1,Class-IL,0.0
relu_0.2_ours_sgd,3,1,Task-IL,67.15
relu_0.2_ours_sgd,3,2,Class-IL,90.0
relu_0.2_ours_sgd,3,2,Task-IL,90.0
relu_0.2_ours_sgd,3,avg,Class-IL,30.0
relu_0.2_ours_sgd,3,avg,Task-IL,75.25
relu_0.2_ours_sgd,4,0,Class-IL,0.0
relu_0.2_ours_sgd,4,0,Task-IL,47.9
relu_0.2_ours_sgd,4,1,Class-IL,0.0
relu_0.2_ours_sgd,4,1,Task-IL,51.0
relu_0.2_ours_sgd,4,2,Class-IL,0.0
relu_0.2_ours_sgd,4,2,Task-IL,58.050000000000004
relu_0.2_ours_sgd,4,3,Class-IL,94.95
relu_0.2_ours_sgd,4,3,Task-IL,94.95
relu_0.2_ours_sgd,4,avg,Class-IL,23.74
relu_0.2_ours_sgd,4,avg,Task-IL,62.98
relu_0.2_ours_sgd,5,0,Class-IL,0.0
relu_0.2_ours_sgd,5,0,Task-IL,72.1
relu_0.2_ours_sgd,5,1,Class-IL,0.0
relu_0.2_ours_sgd,5,1,Task-IL,59.45
relu_0.2_ours_sgd,5,2,Class-IL,0.0
relu_0.2_ours_sgd,5,2,Task-IL,55.85
relu_0.2_ours_sgd,5,3,Class-IL,0.0
relu_0.2_ours_sgd,5,3,Task-IL,67.0
relu_0.2_ours_sgd,5,4,Class-IL,93.8
relu_0.2_ours_sgd,5,4,Task-IL,93.8
relu_0.2_ours_sgd,5,avg,Class-IL,18.76
relu_0.2_ours_sgd,5,avg,Task-IL,69.64
relu_0.3_ghada_sgd,1,0,Class-IL,93.5
relu_0.3_ghada_sgd,1,0,Task-IL,93.5
relu_0.3_ghada_sgd,1,avg,Class-IL,93.5
relu_0.3_ghada_sgd,1,avg,Task-IL,93.5
relu_0.3_ghada_sgd,2,0,Class-IL,0.0
relu_0.3_ghada_sgd,2,0,Task-IL,72.95
relu_0.3_ghada_sgd,2,1,Class-IL,75.25
relu_0.3_ghada_sgd,2,1,Task-IL,75.25
relu_0.3_ghada_sgd,2,avg,Class-IL,37.62
relu_0.3_ghada_sgd,2,avg,Task-IL,74.1
relu_0.3_ghada_sgd,3,0,Class-IL,0.0
relu_0.3_ghada_sgd,3,0,Task-IL,72.0
relu_0.3_ghada_sgd,3,1,Class-IL,0.0
relu_0.3_ghada_sgd,3,1,Task-IL,68.05
relu_0.3_ghada_sgd,3,2,Class-IL,89.64999999999999
relu_0.3_ghada_sgd,3,2,Task-IL,89.64999999999999
relu_0.3_ghada_sgd,3,avg,Class-IL,29.88
relu_0.3_ghada_sgd,3,avg,Task-IL,76.57
relu_0.3_ghada_sgd,4,0,Class-IL,0.0
relu_0.3_ghada_sgd,4,0,Task-IL,71.25
relu_0.3_ghada_sgd,4,1,Class-IL,0.0
relu_0.3_ghada_sgd,4,1,Task-IL,61.050000000000004
relu_0.3_ghada_sgd,4,2,Class-IL,0.0
relu_0.3_ghada_sgd,4,2,Task-IL,80.55
relu_0.3_ghada_sgd,4,3,Class-IL,95.3
relu_0.3_ghada_sgd,4,3,Task-IL,95.3
relu_0.3_ghada_sgd,4,avg,Class-IL,23.82
relu_0.3_ghada_sgd,4,avg,Task-IL,77.04
relu_0.3_ghada_sgd,5,0,Class-IL,0.0
relu_0.3_ghada_sgd,5,0,Task-IL,60.9
relu_0.3_ghada_sgd,5,1,Class-IL,0.0
relu_0.3_ghada_sgd,5,1,Task-IL,64.95
relu_0.3_ghada_sgd,5,2,Class-IL,0.0
relu_0.3_ghada_sgd,5,2,Task-IL,68.2
relu_0.3_ghada_sgd,5,3,Class-IL,0.0
relu_0.3_ghada_sgd,5,3,Task-IL,73.85000000000001
relu_0.3_ghada_sgd,5,4,Class-IL,90.45
relu_0.3_ghada_sgd,5,4,Task-IL,90.45
relu_0.3_ghada_sgd,5,avg,Class-IL,18.09
relu_0.3_ghada_sgd,5,avg,Task-IL,71.67
