model,num_tasks_seen,task,metric_type,accuracy
silu_0.2_ghada_adam,1,avg,Task-IL,94.8
silu_0.2_ghada_adam,2,0,Class-IL,0.0
silu_0.2_ghada_adam,2,0,Task-IL,49.85
silu_0.2_ghada_adam,2,1,Class-IL,84.3
silu_0.2_ghada_adam,2,1,Task-IL,84.3
silu_0.2_ghada_adam,2,avg,Class-IL,42.15
silu_0.2_ghada_adam,2,avg,Task-IL,67.08
silu_0.2_ghada_adam,3,0,Class-IL,0.0
silu_0.2_ghada_adam,3,0,Task-IL,40.65
silu_0.2_ghada_adam,3,1,Class-IL,0.0
silu_0.2_ghada_adam,3,1,Task-IL,57.25
silu_0.2_ghada_adam,3,2,Class-IL,90.85
silu_0.2_ghada_adam,3,2,Task-IL,90.85
silu_0.2_ghada_adam,3,avg,Class-IL,30.28
silu_0.2_ghada_adam,3,avg,Task-IL,62.92
silu_0.2_ghada_adam,4,0,Class-IL,0.0
silu_0.2_ghada_adam,4,0,Task-IL,52.7
silu_0.2_ghada_adam,4,1,Class-IL,0.0
silu_0.2_ghada_adam,4,1,Task-IL,61.8
silu_0.2_ghada_adam,4,2,Class-IL,0.0
silu_0.2_ghada_adam,4,2,Task-IL,59.75
